templateUuid	stats	displayNameHandle	name_en	name_ru
000c1be8-615a-4324-b59d-1f0f5637df36	FOR_QuasitSummon	h609ac237gfbc3g4f3cg9c0ag3bbe3c57f692	Shovel	Лопата
01051ea7-1980-448f-9e24-9951f8b39670	MinorIllusion	h476b3cf9g061eg407cgb3bbgd84b0a8cefbc	Illusory Double	Иллюзорный двойник
011a64ae-8e3c-40b8-890d-67ae115af451	MinorIllusion	h4e573a98g7b36g4861gbff3gc5bdc8d9e369	Illusory Double	Иллюзорный двойник
02b5e1ea-389d-4008-a247-66538709388b	Mephit_Mud_Summon	h3816cd08gc003g40ccg8118geecfbe862fbc	Young Mud Mephit	Молодой грязевой мефит
03f340c1-a26e-427e-968a-94c795015965	Chain_Quasit	h26d6ca64g5ce3g45a2g88f0g1b31085beb0c	Conjured Quasit	Призванный квазит
041f7544-d1fc-446d-b439-2108c02896ed	Companion_Bear_7	hfdd421edgbb72g4689gafa7g5a030394ab90	Ursa Major	Ursa Major
05157722-2144-4712-922b-20ae9ff5f88f	Cloaker_Phantasm	h23a8d794g1786g4040ga5ffg077997f9fce0	Phantasm	Фантазм
0e40a847-a275-4eea-95d7-dd6bad6643ca	Flumph_Wildmagic	hb3102489g0011g499egae34g24a15cd6fd4e	Spectral Flumph	Призрачный фламф
122ce989-2603-4bf4-a3ee-8b2513c39d5e	Shadow_Summon	h3f41731bg79dcg406ega670g45fca6686f6b	Shadow	Тень
15928ca3-b38b-4303-9c1c-9945e5e719a1	Air_Myrmidon	h4454015dg5696g42a0ga864g2cc4228d7874	Air Myrmidon	Прислужник воздуха
19d4154e-fda0-4a7e-bcea-677989c8104c	Helper_Countercharm			
1a1fc113-a50f-4a6c-bf5f-fcd8afcbda53	DisplacerBeast_Illusion	h4d2a8973gb697g4794g9786g6a85270cb181	Displacer Beast	Ускользающий зверь
1d7bd5b7-1879-452d-980f-34a5ba58a389	AnimateDead_Ghoul_Flying	h648cf204g405dg446fga1c7g3ddf39b69d18	Flying Ghoul	Летающий упырь
22309308-6060-42d5-acd3-02e0ab01c2c1	Mephit_Magma	h357898d8gaef4g420dgb069g8f07816a5af9	Young Magma Mephit	Молодой магматический мефит
2337e270-3c93-4088-8439-7c7450b99179	Deva_PlanarAlly	haade74bdga00eg4c24g8bc3g1e70cadcabcd	Deva	Дэва
27b9089b-9aef-44e9-aaf7-100e3e320823	IntellectDevourer_US	h70558015ga6b6g4059ga5acg19747200a72b	Us	«Мы»
284b9c7f-1e04-48b7-af41-9029d1fa753c	Air_Elemental	h350c60d1g4e9dg4ba6g8089g213acefb5628	Air Elemental	Элементаль воздуха
2ad47124-e41a-460e-b97a-f8e9efd32ed8	Earth_Elemental	ha77a4633g46c1g44f0ga3b3g454a070d8f39	Earth Elemental	Элементаль земли
2b290dbd-0f5f-4a65-8d23-481fa40f7aa8	Companion_Bear_8	hd0e5af5dg3585g43a7g805dg9a679166f70a	Ursa Major	Ursa Major
2f83206a-13c3-4ecb-a599-f6aa4708e149	ScryingEye	hecf7e42dg1656g447egb3b0gc642ab054ae6	Scrying Eye	Всевидящее око
308da8fd-fb8e-4078-8991-a8ee678b49da	Chain_Imp	ha28bf9e4g05f0g459eg971fgcc31781723bb	Conjured Imp	Призванный бес
31083c88-f888-4972-857a-9a9f3c827856	HoundOfIllOmen	h57ad5092g40c4g447cg8a5bg2533f84b78a6	Nimbus	Нимб
32f19a95-cbd0-4c3e-965c-b5cbc3ab67cf	Companion_Raven_8	hb6437e3fg6a71g4f20gaf67g9a1d666e6f68	Corvus Major	Corvus Major
34f9c38f-9c19-412c-9760-18dfb5a059fd	CRE_Githyanki_Inquisitor_VlaakithsMindSword	h09c404fdg606eg4117g9662gbeb1baa5c9f2	Mind-Claw of Tu'narath	Коготь разума Ту'Нарата
37ad50dd-f6fd-4962-a32d-15481bacab6d	MinorIllusion	h1f5a9798g3e72g4b72gacdeg5716545581f0	Illusory Double	Иллюзорный двойник
39240785-d534-47fd-85c4-f4a80c00c98b	MinorIllusion	hd5c82adag80b3g47b4g9813g3aee961d84b3	Illusory Double	Иллюзорный двойник
3c88c158-eebe-4e8a-bc20-e0c4ae336163	Spider_Tiny	h2297f446g3827g41c5gb832gee22c4510bc3	Crag Spider	Скальный паук
3fa146c8-7fe0-44fd-9028-0ac2ccac2d44	Azer	hf85a886dgb5f1g4025gb85bg7e46685bd8a1	Azer	Эйзер
405e65e2-a6c9-4418-9de6-b06978d033b7	AnimateDead_Ghoul	hd4f17b8cg94fdg464ega18aga8e825e8b359	Ghoul	Упырь
42357531-f01e-4451-996f-a7ab9f336863	TWN_Brewer_Imp_Cold	h7b5310f9g5c3dg4af4gaccfga3491eec5a35	Cold Hallucination	Ледяная галлюцинация
42da1663-b150-4e9b-abc8-8cdc7240fd56	Dryad_ConjureWoodlandBeings	h9bbbce69gd7bag4fabg90acg98a1c30dec2c	Dryad	Дриада
445d9c41-2870-42f9-93e8-4a121d6de29c	AnimateDead_Skeleton	h95685f43gc82dg46ebg8893gfc9922cc57a8	Skeleton	Скелет
