EntryName	Type	DisplayName_en	Description_en	DisplayName_ru	Description_ru
ABERRANT_SHAPE	StatusData	Aberrant Shape		Облик аберрации	
ABILITYSCORE_DEATH	StatusData	Atrophied	One of the affected entity's &lt;LSTag Tooltip="Abilities"&gt;Abilities&lt;/LSTag&gt; has been reduced to 0, causing it to die instantly.	Атрофия	Одна из &lt;LSTag Tooltip="Abilities"&gt;характеристик&lt;/LSTag&gt; существа была снижена до 0, вызывав тем самым скоропостижную смерть.
ABJURE_ENEMY_FRIGHT	StatusData	Abjure Enemy: Frightened		Преграда для врага: испуг	
ABJURE_ENEMY_SLOW	StatusData	Abjure Enemy: Slow	&lt;LSTag Tooltip="MovementSpeed"&gt;Movement speed&lt;/LSTag&gt; is halved. Taking damage ends this condition.	Преграда для врага: замедление	&lt;LSTag Tooltip="MovementSpeed"&gt;Скорость перемещения&lt;/LSTag&gt; снижена вдвое. Получение урона снимает это состояние.
ABSOLUTE_AEGIS	StatusData	Aegis of the Absolute	The Netherbrain is &lt;LSTag Tooltip="Immune"&gt;Immune&lt;/LSTag&gt; to all types of damage it took in the previous round until the start of its next turn. 	Эгида Абсолют	Нетерийский мозг до начала своего следующего хода имеет &lt;LSTag Tooltip="Immune"&gt;невосприимчивость&lt;/LSTag&gt; ко всем типам урона, которые он получил за предыдущий раунд боя. 
ABSOLUTE_AEGIS_ACID	StatusData	Aegis of the Absolute: Acid		Эгида Абсолют: кислота	
ABSOLUTE_AEGIS_BLUDGEONING	StatusData	Aegis of the Absolute: Bludgeoning	The Netherbrain is &lt;LSTag Tooltip="Immune"&gt;Immune&lt;/LSTag&gt; to all types of damage it took in the previous round until its next turn. 	Эгида Абсолют: дробящий	Нетерийский мозг до своего следующего хода имеет &lt;LSTag Tooltip="Immune"&gt;невосприимчивость&lt;/LSTag&gt; ко всем типам урона, которые он получил за предыдущий раунд боя. 
ABSOLUTE_AEGIS_COLD	StatusData	Aegis of the Absolute: Cold		Эгида Абсолют: холод	
ABSOLUTE_AEGIS_FIRE	StatusData	Aegis of the Absolute: Fire		Эгида Абсолют: огонь	
ABSOLUTE_AEGIS_FORCE	StatusData	Aegis of the Absolute: Force		Эгида Абсолют: силовой	
ABSOLUTE_AEGIS_LIGHTNING	StatusData	Aegis of the Absolute: Lightning		Эгида Абсолют: молния	
ABSOLUTE_AEGIS_NECROTIC	StatusData	Aegis of the Absolute: Necrotic		Эгида Абсолют: некротический	
ABSOLUTE_AEGIS_PIERCING	StatusData	Aegis of the Absolute: Piercing		Эгида Абсолют: колющий	
ABSOLUTE_AEGIS_POISON	StatusData	Aegis of the Absolute: Poison		Эгида Абсолют: яд	
ABSOLUTE_AEGIS_PSYCHIC	StatusData	Aegis of the Absolute: Psychic		Эгида Абсолют: психический	
ABSOLUTE_AEGIS_RADIANT	StatusData	Aegis of the Absolute: Radiant		Эгида Абсолют: лучистый	
ABSOLUTE_AEGIS_SLASHING	StatusData	Aegis of the Absolute: Slashing		Эгида Абсолют: режущий	
ABSOLUTE_AEGIS_THUNDER	StatusData	Aegis of the Absolute: Thunder		Эгида Абсолют: гром	
ABSORB_ELEMENTS_ACID_DAMAGE	StatusData	Absorb Elements: Acid Damage		Поглощение стихий: урон кислотой	
ABSORB_ELEMENTS_ACTIVE	StatusData	Absorb Elements	Absorbing elemental damage.&lt;br&gt;&lt;br&gt; The first time the affected entity is hit with Acid, Cold, Fire, Lightning, or Thunder damage, it only takes half damage. &lt;br&gt;&lt;br&gt;The next time it lands a hit with a melee attack, it deals an additional [1] damage of the element that hit it.	Поглощение стихий	Поглощение стихийного урона.&lt;br&gt;&lt;br&gt;В первый раз, когда существу наносят удар кислотой, холодом, огнем, молнией или громом, оно получает только половину урона.&lt;br&gt;&lt;br&gt;В следующий раз, когда оно успешно проводит атаку ближнего боя, оно причиняет дополнительно [1] урона той стихией, которая до этого нанесла урон ему.
ABSORB_ELEMENTS_COLD_DAMAGE	StatusData	Absorb Elements: Cold Damage		Поглощение стихий: урон холодом	
ABSORB_ELEMENTS_COOLDOWN_TECHNICAL	StatusData	%%% Absorb Element Cooldown Technical			
ABSORB_ELEMENTS_FIRE_DAMAGE	StatusData	Absorb Elements: Fire Damage		Поглощение стихий: урон огнем	
ABSORB_ELEMENTS_LIGHTNING_DAMAGE	StatusData	Absorb Elements: Lightning Damage		Поглощение стихий: урон молнией	
ABSORB_ELEMENTS_THUNDER_DAMAGE	StatusData	Absorb Elements: Thunder Damage		Поглощение стихий: урон громом	
ACCURSED_SPECTER	StatusData	Accursed Spectre	The Accursed Spectre gains &lt;LSTag Tooltip="TemporaryHitPoints"&gt;temporary hit points&lt;/LSTag&gt; equivalent to half the warlock's level. Additionally, it deals additional damage based off the warlock's Charisma &lt;LSTag Tooltip="AbilityModifier"&gt;Modifier&lt;/LSTag&gt;.	Проклятый призрак	Проклятый призрак получает &lt;LSTag Tooltip="TemporaryHitPoints"&gt;временные ОЗ&lt;/LSTag&gt; в количестве, равном половине уровня колдуна. Кроме того, он наносит дополнительный урон на основании &lt;LSTag Tooltip="AbilityModifier"&gt;модификатора&lt;/LSTag&gt; харизмы колдуна.
ACCURSED_SPECTER_FEEBLE	StatusData	%%% EMPTY			
ACID	StatusData	Acid	Reduces &lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; by 2.	Кислота	Снижает &lt;LSTag Tooltip="ArmourClass"&gt;класс брони&lt;/LSTag&gt; на 2.
ACID_ARROW	StatusData	Melf's Acid Arrow	Takes [1] at end of their turn.	Кислотная стрела Мелфа	Получает [1] в конце своего хода.
ACTION_SURGE	StatusData	Action Surge	Can take an extra &lt;LSTag Tooltip="Action"&gt;action&lt;/LSTag&gt; this turn.	Порыв к действию	Может выполнить за этот ход одно дополнительное &lt;LSTag Tooltip="Action"&gt;действие&lt;/LSTag&gt;.
AID	StatusData	Aid	Hit point maximum increased by [1].	Помощь	Макс. запас очков здоровья увеличен на [1].
AI_HELPERS	StatusData	%%% EMPTY			
AI_HELPER_GETNAKED_INCUBUS	StatusData	%%% EMPTY			
AI_NO_LOOK_AT_BATTLE	StatusData	%%% EMPTY			
AI_STATUS_FAKE	StatusData	%%% Fake Status			
ALCHEMY_BOOST	StatusData	%%% EMPTY			
ALCH_ELIXIR_ALERTNESS	StatusData	Elixir of Vigilance	Affected entity has a +5 bonus to Initiative and can't be &lt;LSTag Type="Status" Tooltip="SURPRISED"&gt;Surprised&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk. 	Эликсир бдительности	Существо получает бонус +5 к инициативе и не может быть &lt;LSTag Type="Status" Tooltip="SURPRISED"&gt;захвачено врасплох&lt;/LSTag&gt;. При использовании заменяет эффекты других эликсиров. 
ALCH_ELIXIR_ARCANE_ACUITY	StatusData	Elixir of Battlemage's Power	Affected entity has &lt;LSTag Type="Status" Tooltip="MAG_GISH_ARCANE_ACUITY"&gt;Arcane Acuity&lt;/LSTag&gt; until its next &lt;LSTag Tooltip="LongRest"&gt;Long Rest&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk.	Эликсир силы боевого мага	Существо получает &lt;LSTag Type="Status" Tooltip="MAG_GISH_ARCANE_ACUITY"&gt;магическую интуицию&lt;/LSTag&gt; до следующего &lt;LSTag Tooltip="LongRest"&gt;долгого отдыха&lt;/LSTag&gt;. При использовании заменяет эффекты других эликсиров.
ALCH_ELIXIR_BARKSKIN	StatusData	Elixir of Barkskin	&lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; increased to 16.	Эликсир дубовой кожи	&lt;LSTag Tooltip="ArmourClass"&gt;Класс брони&lt;/LSTag&gt; повышен до 16.
ALCH_ELIXIR_BLOODLUST	StatusData	Elixir of Bloodlust	Affected entity has entered a murderous state of bloodlust. Once per turn, when it kills an enemy, it gains  [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;temporary hit points&lt;/LSTag&gt; and an &lt;LSTag Tooltip="Action"&gt;action&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk. 	Эликсир кровожадности	Существо охватила необоримая жажда крови. Раз за ход, убив как минимум одного противника, оно получает [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;временных ОЗ&lt;/LSTag&gt; и дополнительное &lt;LSTag Tooltip="Action"&gt;действие&lt;/LSTag&gt;. При использовании заменяет эффекты других эликсиров. 
ALCH_ELIXIR_BLOODLUST_TEMPAP	StatusData	Elixir of Bloodlust	Affected entity has entered a murderous state of bloodlust. Once per turn, when it kills an enemy, it gains  [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;temporary hit points&lt;/LSTag&gt; and an &lt;LSTag Tooltip="Action"&gt;action&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk. 	Эликсир кровожадности	Существо охватила необоримая жажда крови. Раз за ход, убив как минимум одного противника, оно получает [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;временных ОЗ&lt;/LSTag&gt; и дополнительное &lt;LSTag Tooltip="Action"&gt;действие&lt;/LSTag&gt;. При использовании заменяет эффекты других эликсиров. 
ALCH_ELIXIR_BLOODLUST_TEMPAP_ATTACK	StatusData	%%% Bloodlust Attack			
ALCH_ELIXIR_BLOODLUST_TEMPHP	StatusData	Temporary Hit Points	Elixir of Bloodlust granted you 5 &lt;LSTag Tooltip="TemporaryHitPoints"&gt;temporary hit points&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk.	Временные ОЗ	Эликсир кровожадности дает вам 5 &lt;LSTag Tooltip="TemporaryHitPoints"&gt;временных ОЗ&lt;/LSTag&gt;. При использовании заменяет эффекты других эликсиров.
ALCH_ELIXIR_CONCENTRATION	StatusData	Elixir of Peerless Focus	Affected entity's ability to maintain its spells has increased.&lt;br&gt;&lt;br&gt;It has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; to &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt; against being &lt;LSTag Type="Status" Tooltip="CHARMED"&gt;Charmed&lt;/LSTag&gt; and for maintaining &lt;LSTag Tooltip="Concentration"&gt;Concentration&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk. Magic can't put it to sleep.	Эликсир бесподобного сосредоточения	Существо увереннее поддерживает сотворенные им заклинания.&lt;br&gt;&lt;br&gt;Оно получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; против &lt;LSTag Type="Status" Tooltip="CHARMED"&gt;обворожения&lt;/LSTag&gt; и на &lt;LSTag Tooltip="Concentration"&gt;концентрацию&lt;/LSTag&gt;, а магические чары не способны погрузить его в сон. При использовании заменяет эффекты других эликсиров.
ALCH_ELIXIR_CRITICALS	StatusData	Elixir of Viciousness	The number you need to &lt;LSTag Tooltip="AttackRoll"&gt;roll&lt;/LSTag&gt; a &lt;LSTag Tooltip="CriticalHit"&gt;Critical Hit&lt;/LSTag&gt; while attacking is reduced by 1. This effect can stack. Replaces effects from other elixirs when drunk. 	Эликсир злобности	Значение, которое необходимо &lt;LSTag Tooltip="AttackRoll"&gt;выбросить&lt;/LSTag&gt; при атаке, чтобы нанести &lt;LSTag Tooltip="CriticalHit"&gt;критический удар&lt;/LSTag&gt;, уменьшается на 1. Этот эффект может складываться. При использовании заменяет эффекты других эликсиров.
ALCH_ELIXIR_DARKVISION	StatusData	Elixir of Darkvision	Can see in the dark for up to [1].	Эликсир ночного зрения	Может видеть в темноте на расстоянии до [1].
ALCH_ELIXIR_ENLARGE	StatusData	Elixir of The Colossus		Эликсир колосса	
ALCH_ELIXIR_FREEDOM	StatusData	Elixir of Guileful Movement	&lt;LSTag Tooltip="MovementSpeed"&gt;Movement speed&lt;/LSTag&gt; can't be reduced by &lt;LSTag Type="Status" Tooltip="DIFFICULT_TERRAIN"&gt;Difficult Terrain&lt;/LSTag&gt;, spells, or magical effects. Can't be &lt;LSTag Type="Status" Tooltip="PARALYZED"&gt;Paralysed&lt;/LSTag&gt; or &lt;LSTag Type="Status" Tooltip="RESTRAINED"&gt;Restrained&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk.	Эликсир пронырливости	Позволяет не снижать &lt;LSTag Tooltip="MovementSpeed"&gt;скорость перемещения&lt;/LSTag&gt; по &lt;LSTag Type="Status" Tooltip="DIFFICULT_TERRAIN"&gt;сложной местности&lt;/LSTag&gt;, под воздействием заклинаний или магических эффектов. Защищает от &lt;LSTag Type="Status" Tooltip="PARALYZED"&gt;паралича&lt;/LSTag&gt; и &lt;LSTag Type="Status" Tooltip="RESTRAINED"&gt;обездвиживания&lt;/LSTag&gt;. При использовании заменяет эффекты других эликсиров.
ALCH_ELIXIR_MEDITATION	StatusData	Elixir of Arcane Cultivation	Has an additional Level [1] &lt;LSTag Tooltip="SpellSlot"&gt;spell slot&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk.	Эликсир магического развития	Дает дополнительную &lt;LSTag Tooltip="SpellSlot"&gt;ячейку заклинания&lt;/LSTag&gt; [1]-го круга. При использовании заменяет эффекты других эликсиров.
ALCH_ELIXIR_MEDITATION_GREATER	StatusData	Greater Elixir of Arcane Cultivation	Has an additional Level [1] &lt;LSTag Tooltip="SpellSlot"&gt;spell slot&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk.	Великий эликсир магического развития	Дает дополнительную &lt;LSTag Tooltip="SpellSlot"&gt;ячейку заклинания&lt;/LSTag&gt; [1]-го круга. При использовании заменяет эффекты других эликсиров.
ALCH_ELIXIR_MEDITATION_SUPERIOR	StatusData	Superior Elixir of Arcane Cultivation	Has an additional Level [1] &lt;LSTag Tooltip="SpellSlot"&gt;spell slot&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk.	Превосходный эликсир магического развития	Дает дополнительную &lt;LSTag Tooltip="SpellSlot"&gt;ячейку заклинания&lt;/LSTag&gt; [1]-го круга. При использовании заменяет эффекты других эликсиров.
ALCH_ELIXIR_MEDITATION_SUPREME	StatusData	Supreme Elixir of Arcane Cultivation	Has an additional Level [1] &lt;LSTag Tooltip="SpellSlot"&gt;spell slot&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk.	Высший эликсир магического развития	Дает дополнительную &lt;LSTag Tooltip="SpellSlot"&gt;ячейку заклинания&lt;/LSTag&gt; [1]-го круга. При использовании заменяет эффекты других эликсиров.
ALCH_ELIXIR_TADPOLE	StatusData	Psionic Weakening	Affected entity has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Constitution, Wisdom and Intelligence &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;. Replaces effects from other elixirs when drunk.	Псионический упадок	Существо имеет &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; выносливости, мудрости и интеллекта. Заменяет собой текущий эффект эликсира.
ALCH_ELIXIR_TADPOLE_ADVANTAGE	StatusData	Psionic Enrichment	After using a tadpole power, affected entity gains &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on all attacks for [1] rounds.	Псионическое насыщение	Использовав способность личинки, существо в течение нескольких раундов ([1]) получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; ко всем атакам.
