EntryName	Type	DisplayName_en	Description_en	DisplayName_ru	Description_ru
ProjectileStrike_Placeholder	SpellData	%%% Placeholder			
ProjectileStrike_TUT_UpperDeck_Bombardment	SpellData	Bombardment		Бомбардировка	
Projectile_AI_HELPERS	SpellData	%%% EMPTY	%%% EMPTY		
Projectile_AcidArrow	SpellData	Melf's Acid Arrow	Shoot a green arrow that covers the target and the ground with acid. Deals [1] immediately and [2] at the end of the target's turn.	Кислотная стрела Мелфа	Выпустить зеленую стрелу. И цель, и место, место, где она находится, будут забрызганы кислотой. Наносит [1] сразу же и еще [2] в конце хода цели.
Projectile_AcidSplash	SpellData	Acid Splash	Throw a bubble of acid that damages each creature it hits.	Всплеск кислоты	Бросить пузырь кислоты, наносящий урон всем существам, которых он заденет.
Projectile_AlchemistFire	SpellData	Alchemist's Fire	Hurl a flask of liquid fire that explodes on impact.	Огонь алхимика	Бросить склянку с жидким огнем, взрывающуюся в месте падения.
Projectile_ArchersEye	SpellData	Archer's Eye	As a bonus action, add 1d10 to your next ranged attack roll or damage roll.	Глаз лучника	Лучник может в качестве бонусного действия добавить 1d10 к своему следующему броску дистанционной атаки или урона.
Projectile_ArmCrossbow_Merregon	SpellData	Crossbow Shot	Shoot your foe.	Выстрел из арбалета	Выстрелить в противника.
Projectile_ArrowOfAberrationSlaying	SpellData	Arrow of Aberration Slaying	Deals double damage to Aberrations. 	Стрела убийства аберраций	Наносит двойной урон аберрациям.
Projectile_ArrowOfAcid	SpellData	Arrow of Acid	Deals [1] and explodes in a spray of acid that deals an additional [2].	Кислотная стрела	Наносит [1] и взрывается, разбрызгивая вокруг кислоту, которая наносит доп. [2].
Projectile_ArrowOfAntimagic	SpellData	Arrow of Arcane Interference	Break your target's &lt;LSTag Tooltip="Concentration"&gt;Concentration&lt;/LSTag&gt; and &lt;LSTag Type="Status" Tooltip="SILENCED"&gt;Silence&lt;/LSTag&gt; it. 	Стрела магического вмешательства	Разбить &lt;LSTag Tooltip="Concentration"&gt;концентрацию&lt;/LSTag&gt; цели и наложить на нее &lt;LSTag Type="Status" Tooltip="SILENCED"&gt;немоту&lt;/LSTag&gt;.
Projectile_ArrowOfBeastSlaying	SpellData	Arrow of Beast Slaying	Deals double damage to Beasts. 	Стрела убийства зверей	Наносит двойной урон животным.
Projectile_ArrowOfCelestialSlaying	SpellData	Arrow of Celestial Slaying	Deals double damage to Celestials. 	Стрела убийства небожителей	Наносит двойной урон небожителям.
Projectile_ArrowOfConstructSlaying	SpellData	Arrow of Construct Slaying	Deals double damage to Constructs. 	Стрела убийства конструкций	Наносит двойной урон конструкциям.
Projectile_ArrowOfDarkness	SpellData	Arrow of Darkness	Spread magical darkness on impact.	Стрела тьмы	При попадании испускает колдовскую тьму.
Projectile_ArrowOfDetonation	SpellData	Arrow of Roaring Thunder	Explode on impact, pushing targets back [1].	Стрела гремящего грома	Взрывается при попадании, отбрасывая цели на [1].
Projectile_ArrowOfDispelling	SpellData	Arrow of Salving	Cure your target of &lt;LSTag Type="Status" Tooltip="POISONED"&gt;Poison&lt;/LSTag&gt;, &lt;LSTag Type="Status" Tooltip="PARALYZED"&gt;Paralysis&lt;/LSTag&gt; or &lt;LSTag Type="Status" Tooltip="BLINDED"&gt;Blindness&lt;/LSTag&gt;.	Стрела с бальзамом	Излечить цель от &lt;LSTag Type="Status" Tooltip="POISONED"&gt;отравления&lt;/LSTag&gt;, &lt;LSTag Type="Status" Tooltip="PARALYZED"&gt;паралича&lt;/LSTag&gt; или &lt;LSTag Type="Status" Tooltip="BLINDED"&gt;слепоты&lt;/LSTag&gt;.
Projectile_ArrowOfDragonSlaying	SpellData	Arrow of Dragon Slaying	Deals double damage to Dragons. 	Стрела убийства драконов	Наносит двойной урон драконам.
Projectile_ArrowOfElementalSlaying	SpellData	Arrow of Elemental Slaying	Deals double damage to Elementals. 	Стрела убийства элементалей	Наносит двойной урон элементалям.
Projectile_ArrowOfFeySlaying	SpellData	Arrow of Fey Slaying	Deals double damage to Fey creatures. 	Стрела убийства фей	Наносит двойной урон феям.
Projectile_ArrowOfFiendSlaying	SpellData	Arrow of Fiend Slaying	Deals double damage to Fiends. 	Стрела убийства бестий	Наносит двойной урон бестиям.
Projectile_ArrowOfFire	SpellData	Arrow of Fire	Deals [1] and explodes, dealing an additional [2] to all caught in the flames.	Огненная стрела	Наносит [1] и взрывается, нанося доп. [2] всем, попавшим под действие взрыва.
Projectile_ArrowOfGiantSlaying	SpellData	Arrow of Giant Slaying	Deals double damage to Giants. 	Стрела убийства великанов	Наносит двойной урон великанам.
Projectile_ArrowOfHumanoidSlaying	SpellData	Arrow of Humanoid Slaying	Deals double damage to Humanoids. 	Стрела убийства гуманоидов	Наносит двойной урон гуманоидам.
Projectile_ArrowOfIce	SpellData	Arrow of Ice	Shatters and deals an additional [2] to all caught in the frosty explosion.	Ледяная стрела	Взрывается волной осколков, нанося доп. [2] всем, попавшим под действие ледяного взрыва.
Projectile_ArrowOfLightning	SpellData	Arrow of Lightning	Deals [1] and explodes in a bolt of lightning. Targets hit by the lightning possibly take an additional [2].	Стрела молнии	Наносит [1] и взрывается, испуская молнии. Пораженные молнией цели могут дополнительно получить [2].
Projectile_ArrowOfMonstrositySlaying	SpellData	Arrow of Monstrosity Slaying	Deals double damage to Monstrosities. 	Стрела убийства чудовищ	Наносит двойной урон чудовищам.
Projectile_ArrowOfOozeSlaying	SpellData	Arrow of Ooze Slaying	Deals double damage to Oozes. 	Стрела уничтожения жижи	Наносит двойной урон жижам.
Projectile_ArrowOfPiercing	SpellData	Arrow of Piercing	Deal half damage to creatures directly behind your initial target.	Пронзающая стрела	Наносит половину урона существам, находящимся прямо за первой целью.
Projectile_ArrowOfPlantSlaying	SpellData	Arrow of Plant Slaying	Deals double damage to Plants. 	Стрела убийства растений	Наносит двойной урон растениям.
Projectile_ArrowOfRicochet	SpellData	Arrow of Many Targets	Deal an additional half damage to three other targets in range.	Стрела множества целей	Наносит половинный урон еще трем целям в радиусе действия.
Projectile_ArrowOfSmokepowder	SpellData	Smokepowder Shot	Shoot an arrow full of explosive powder, pushing the target back [1].	Заряд дымного пороха	Выпустить стрелу, начиненную взрывчатым порохом, чтобы отбросить цель назад на [1].
Projectile_ArrowOfTeleportation	SpellData	Arrow of Transposition	Teleport wherever you fire this arrow. 	Стрела переноса	Стрела телепортирует вас в точку, в которую попадает.
Projectile_ArrowOfUndeadSlaying	SpellData	Arrow of Undead Slaying	Deals double damage to Undead. 	Стрела убийства нежити	Наносит двойной урон нежити.
Projectile_ArrowOfWraithsEmbrace	SpellData	Arrow of Ilmater	Prevent your target from regaining hit points.	Стрела Ильматера	Не дает цели восстанавливать очки здоровья.
Projectile_BEH_DeathRay	SpellData	Deathray	Test Attack for the Beholder	Луч смерти	Тестовая атака для бехолдера
Projectile_BadOmen_Raven	SpellData	Bad Omen	Hurl one of your feathers at a target to mark it as &lt;LSTag Type="Status" Tooltip="OMEN_RAVEN"&gt;Cursed&lt;/LSTag&gt;.	Дурное предзнаменование	Бросить в цель перо, тем самым наложив на нее &lt;LSTag Type="Status" Tooltip="OMEN_RAVEN"&gt;проклятие&lt;/LSTag&gt;.
Projectile_Barbed_Arrow	SpellData	Barbed Bodkin	Inflict a lasting wound that deals [1] each time the target moves.	Игловидная стрела с зазубринами	Враг получает тяжелую рану, которая наносит [1] при каждом движении цели.
Projectile_Barrel_Explosion	SpellData	Explosion	The oil inside explodes when ignited, damaging everything in the vicinity.	Взрыв	Подожженное масло взрывается, нанося урон всем, кто оказался поблизости.
Projectile_BlackSporeCloud	SpellData	Timmask Spores	Eject timmask spores that can &lt;LSTag Type="Status" Tooltip="TIMMASK_SPORES"&gt;Befuddle&lt;/LSTag&gt; creatures.	Споры тиммаска	Выпустить споры тиммаска, которые могут &lt;LSTag Type="Status" Tooltip="TIMMASK_SPORES"&gt;одурманивать&lt;/LSTag&gt; существ.
Projectile_BoilingWater	SpellData	Explosion	Each creature in 20ft radius must make a Dexterity Saving Throw. On a failed save, they take [1]. On a successful save, only half as much.	Взрыв	Каждое существо в радиусе 6 м должно пройти испытание на ловкость. В случае неудачи оно получает [1]. В случае успеха – в два раза меньше.
Projectile_Bomb	SpellData	Bomb	Throw a bomb that explodes on impact.	Бомба	Бросить взрывающуюся в месте падения бомбу.
Projectile_CausticBulb	SpellData	Caustic Bulb	Throw this slime-covered bulb at a target to coat it, the ground, and anything nearby in caustic brine.	Едкий клубень	Бросить в цель покрытый слизью клубень. И цель, и место, где она находится, и все вокруг него будет забрызгано едкой жидкостью.
Projectile_ChromaticOrb	SpellData	Chromatic Orb	Hurl a sphere that deals [1] and possibly creates a surface on impact. Alternatively, choose a different type of damage. 	Хроматический шар	Метнуть сферу, которая наносит [1] и с некоторой вероятностью создает поверхность. Или же вы можете выбрать другой тип урона.
Projectile_ChromaticOrb_Acid	SpellData	Chromatic Orb: Acid	Hurl caustic energy that damages the target and creates an &lt;LSTag Type="Status" Tooltip="ACID"&gt;Acid&lt;/LSTag&gt; surface on impact. 	Хроматический шар: кислота	Бросить сферу кислотной энергии, которая наносит урон цели и создает &lt;LSTag Type="Status" Tooltip="ACID"&gt;кислотную&lt;/LSTag&gt; поверхность.
Projectile_ChromaticOrb_Cold	SpellData	Chromatic Orb: Cold	Hurl freezing energy that damages the target and creates a frosty surface to knock creatures &lt;LSTag Type="Status" Tooltip="PRONE"&gt;Prone&lt;/LSTag&gt;. 	Хроматический шар: холод	Бросить сферу морозной энергии, которая наносит урон цели и создает ледяную поверхность, сбивающую существ с ног и заставляющую упасть&lt;LSTag Type="Status" Tooltip="PRONE"&gt;плашмя&lt;/LSTag&gt;.
Projectile_ChromaticOrb_Fire	SpellData	Chromatic Orb: Fire	Hurl fiery energy that damages the target and creates a &lt;LSTag Type="Status" Tooltip="BURNING"&gt;Burning&lt;/LSTag&gt; surface on impact. 	Хроматический шар: огонь	Бросить сферу огненной энергии, которая наносит урон цели и создает &lt;LSTag Type="Status" Tooltip="BURNING"&gt;горящую&lt;/LSTag&gt; поверхность.
Projectile_ChromaticOrb_Lightning	SpellData	Chromatic Orb: Lightning	Hurl lightning energy that damages the target and creates an electrified surface on impact. 	Хроматический шар: молния	Бросить сферу энергии молнии, которая наносит урон цели и создает наэлектризованную поверхность.
